a,b,c,t
0.458,0.416,0.048,15.001
0.930,0.806,0.992,0.126
0.090,0.599,0.711,1.784
0.979,0.080,0.730,1.515
0.563,0.739,0.013,29.296
0.927,0.912,0.529,0.138
0.558,0.106,0.084,14.620
0.809,0.886,0.623,0.232
0.504,0.476,0.240,2.583
0.763,0.919,0.255,0.605
0.906,0.033,0.863,1.766
0.594,0.297,0.868,0.868
0.432,0.327,0.613,1.387
0.904,0.332,0.764,0.684
0.914,0.960,0.221,0.257
0.593,0.017,0.334,5.978
0.794,0.031,0.478,3.366
0.749,0.028,0.061,27.514
0.063,0.484,0.530,2.860
0.011,0.386,0.519,4.570
0.804,0.952,0.964,0.120
0.496,0.881,0.185,1.943
0.560,0.777,0.902,0.401
0.054,0.912,0.858,1.524
0.354,0.898,0.517,0.963
0.020,0.399,0.717,2.926
0.579,0.732,0.544,0.685
0.555,0.350,0.039,18.247
0.383,0.535,0.739,0.932
0.889,0.534,0.667,0.485
0.955,0.762,0.897,0.154
0.480,0.904,0.469,0.773
0.629,0.799,0.486,0.615
0.469,0.505,0.253,2.472
0.721,0.056,0.278,5.014
0.118,0.732,0.983,1.082
0.815,0.018,0.020,91.678
0.878,0.009,0.899,2.338
0.685,0.142,0.365,2.773
0.249,0.665,0.011,70.998
0.235,0.614,0.869,0.968
0.996,0.701,0.082,1.903
0.120,0.218,0.758,2.088
0.693,0.441,0.317,1.624
0.069,0.285,0.460,3.709
0.721,0.467,0.890,0.531
0.626,0.997,0.807,0.254
0.891,0.666,0.796,0.285
0.898,0.509,0.452,0.752
0.879,0.261,0.242,2.642
0.649,0.312,0.387,1.792
0.740,0.554,0.001,387.259
0.834,0.225,0.247,2.942
0.404,0.991,0.235,1.692
0.433,0.663,0.846,0.641
0.164,0.239,0.590,2.384
0.828,0.360,0.976,0.539
0.181,0.545,0.838,1.200
0.577,0.607,0.514,0.886
0.678,0.719,0.365,0.855
0.306,0.022,0.733,2.963
0.114,0.239,0.057,27.451
0.626,0.867,0.160,1.659
0.912,0.453,0.717,0.535
0.686,0.077,0.634,2.014
0.171,0.872,0.550,1.503
0.553,0.031,0.214,8.252
0.953,0.827,0.640,0.162
0.822,0.618,0.303,0.971
0.724,0.451,0.736,0.660
0.259,0.587,0.325,2.517
0.866,0.635,0.928,0.280
0.654,0.658,0.233,1.572
0.205,0.133,0.773,2.024
0.104,0.782,0.691,1.577
0.094,0.282,0.853,1.848
0.202,0.521,0.383,2.553
0.392,0.068,0.087,18.094
0.201,0.433,0.706,1.502
0.346,0.456,0.865,0.927
0.428,0.532,0.597,1.076
0.647,0.559,0.832,0.531
0.576,0.750,0.183,1.992
0.406,0.991,0.307,1.288
0.937,0.722,0.402,0.422
0.913,0.652,0.351,0.642
0.791,0.018,0.412,4.482
0.366,0.945,0.633,0.728
0.887,0.727,0.355,0.537
0.554,0.661,0.901,0.484
0.356,0.562,0.358,1.952
0.090,0.359,0.490,3.042
0.402,0.486,0.133,5.332
0.599,0.821,0.993,0.310
0.959,0.300,0.877,0.617
0.352,0.162,0.381,3.265
0.528,0.262,0.285,3.014
0.124,0.935,0.391,2.393
0.879,0.766,0.872,0.197
0.877,0.032,0.443,3.503
0.985,0.413,0.815,0.479
0.015,0.583,0.815,2.525
0.081,0.454,0.320,4.483
0.176,0.227,0.781,1.791
0.691,0.410,0.488,1.122
0.296,0.920,0.557,1.014
0.870,0.914,0.555,0.179
0.779,0.102,0.422,2.606
0.524,0.871,0.197,1.729
0.414,0.439,0.773,0.958
0.878,0.995,0.017,3.452
0.014,0.128,0.932,2.947
0.124,0.580,0.925,1.236
0.242,0.478,0.782,1.198
0.605,0.890,0.353,0.762
0.527,0.871,0.952,0.355
0.393,0.620,0.778,0.788
0.223,0.949,0.920,0.733
0.153,0.799,0.034,26.846
0.840,0.276,0.496,1.280
0.194,0.895,0.674,1.128
0.155,0.827,0.350,2.549
0.691,0.083,0.406,3.058
0.456,0.885,0.209,1.886
0.903,0.176,0.339,2.356
