a,b,c,t
0.316,0.927,0.987,0.649
0.780,0.007,0.590,1.318
0.240,0.043,0.392,0.651
0.167,0.982,0.034,1.131
0.120,0.181,0.857,0.290
0.980,0.610,0.651,1.261
0.878,0.781,0.652,1.158
0.249,0.315,0.821,0.496
0.779,0.183,0.837,0.943
0.200,0.453,0.823,0.512
0.428,0.871,0.982,0.701
0.959,0.707,0.367,1.551
0.203,0.325,0.931,0.420
0.708,0.004,0.512,1.380
0.877,0.663,0.734,1.102
0.373,0.354,0.009,2.003
0.163,0.268,0.936,0.358
0.519,0.581,0.709,0.853
0.999,0.378,0.653,1.336
0.079,0.933,0.984,0.528
0.661,0.275,0.739,0.923
0.658,0.566,0.801,0.895
0.952,0.006,0.896,1.062
0.753,0.253,0.195,2.246
0.562,0.518,0.628,0.942
0.183,0.410,0.275,0.866
0.790,0.351,0.998,0.846
0.809,0.086,0.249,2.672
0.893,0.165,0.829,1.064
0.204,0.357,0.082,1.278
0.690,0.968,0.403,1.209
0.576,0.244,0.100,2.384
0.167,0.311,0.110,1.135
0.918,0.209,0.953,0.970
0.180,0.786,0.753,0.628
0.588,0.032,0.813,0.734
0.357,0.616,0.302,1.060
0.991,0.528,0.897,1.066
0.338,0.406,0.868,0.584
0.571,0.870,0.133,1.437
0.444,0.114,0.392,1.103
0.260,0.870,0.333,0.939
0.260,0.078,0.451,0.639
0.132,0.433,0.196,0.898
0.315,0.690,0.183,1.151
0.396,0.750,0.347,1.045
0.461,0.699,0.653,0.858
0.580,0.527,0.062,1.879
0.826,0.592,0.068,2.148
0.852,0.365,0.911,0.954
0.017,0.586,0.961,0.390
0.569,0.273,0.407,1.238
0.670,0.859,0.600,1.048
0.895,0.187,0.805,1.091
0.105,0.473,0.679,0.502
0.717,0.771,0.803,0.945
0.579,0.088,0.652,0.901
0.889,0.357,0.552,1.371
0.706,0.310,0.897,0.842
0.498,0.848,0.196,1.289
0.580,0.151,0.225,1.944
0.775,0.156,0.598,1.235
0.747,0.266,0.144,2.471
0.808,0.330,0.017,3.280
0.357,0.121,0.110,2.069
0.829,0.832,0.063,1.856
0.861,0.863,0.230,1.577
0.629,0.761,0.360,1.240
0.335,0.101,0.715,0.534
0.600,0.712,0.845,0.843
0.056,0.124,0.023,1.224
0.438,0.805,0.559,0.911
0.774,0.124,0.532,1.369
0.641,0.462,0.662,0.981
0.025,0.127,0.528,0.232
0.263,0.740,0.093,1.204
0.943,0.309,0.360,1.871
0.801,0.097,0.966,0.845
0.951,0.102,0.925,1.025
0.817,0.127,0.157,3.324
0.408,0.558,0.481,0.930
0.655,0.690,0.918,0.836
0.454,0.063,0.642,0.733
0.926,0.308,0.016,3.809
0.259,0.105,0.710,0.447
0.173,0.962,0.836,0.631
0.402,0.303,0.531,0.845
0.007,0.439,0.233,0.664
0.584,0.699,0.198,1.430
0.931,0.469,0.021,2.857
0.016,0.794,0.937,0.468
0.840,0.650,0.397,1.423
0.153,0.650,0.553,0.667
0.589,0.649,0.885,0.807
0.046,0.757,0.962,0.467
0.031,0.773,0.393,0.690
0.026,0.251,0.389,0.433
0.085,0.874,0.892,0.543
0.002,0.079,0.636,0.113
0.296,0.974,0.383,0.936
0.290,0.223,0.103,1.574
0.640,0.823,0.289,1.316
0.856,0.443,0.957,0.928
0.376,0.378,0.374,1.003
0.772,0.541,0.845,0.947
0.150,0.416,0.510,0.611
0.054,0.610,0.947,0.426
0.046,0.577,0.651,0.507
0.019,0.648,0.141,0.845
0.926,0.569,0.891,1.024
0.784,0.300,0.437,1.471
0.238,0.321,0.797,0.500
0.571,0.977,0.465,1.074
0.163,0.664,0.255,0.900
0.222,0.659,0.221,1.001
0.180,0.309,0.655,0.507
0.729,0.347,0.554,1.194
0.774,0.599,0.988,0.865
0.007,0.107,0.974,0.105
0.290,0.905,0.373,0.935
0.888,0.197,0.918,0.973
0.596,0.616,0.898,0.801
0.336,0.153,0.495,0.755
0.720,0.617,0.641,1.063
0.065,0.300,0.960,0.290
0.815,0.063,0.825,0.989
0.124,0.330,0.148,0.950
0.203,0.542,0.054,1.250
0.126,0.083,0.611,0.301
0.221,0.055,0.423,0.577
0.069,0.569,0.920,0.428
0.984,0.415,0.890,1.072
0.131,0.054,0.292,0.535
0.643,0.106,0.253,2.086
0.080,0.764,0.345,0.761
0.876,0.218,0.768,1.110
0.963,0.452,0.255,2.001
0.411,0.349,0.600,0.801
0.567,0.338,0.484,1.101
0.723,0.212,0.176,2.410
0.866,0.513,0.540,1.310
0.955,0.152,0.770,1.201
0.132,0.293,0.374,0.637
0.890,0.409,0.334,1.748
0.998,0.401,0.948,1.037
0.934,0.769,0.894,1.024
0.559,0.071,0.120,3.298
0.694,0.856,0.475,1.165
0.347,0.435,0.969,0.557
0.746,0.229,0.718,1.030
0.749,0.119,0.060,4.849
0.859,0.700,0.280,1.591
0.134,0.684,0.995,0.487
0.959,0.854,0.016,2.084
0.268,0.359,0.504,0.727
0.366,0.634,0.906,0.649
0.108,0.800,0.815,0.562
0.983,0.713,0.494,1.405
0.522,0.041,0.222,2.141
0.724,0.527,0.433,1.303
0.411,0.524,0.697,0.766
0.211,0.850,0.502,0.785
0.441,0.448,0.548,0.893
0.685,0.638,0.039,1.954
0.341,0.969,0.653,0.808
0.306,0.509,0.171,1.199
0.925,0.707,0.157,1.889
0.057,0.265,0.111,0.856
0.603,0.547,0.126,1.709
0.904,0.795,0.124,1.849
0.793,0.646,0.003,2.217
0.780,0.220,0.660,1.136
0.175,0.230,0.223,0.894
0.307,0.565,0.354,0.949
0.838,0.599,0.103,2.047
0.921,0.963,0.469,1.316
0.370,0.702,0.208,1.178
0.861,0.747,0.337,1.483
0.109,0.875,0.085,1.025
0.074,0.415,0.385,0.611
0.801,0.139,0.700,1.120
0.720,0.299,0.844,0.892
0.126,0.990,0.643,0.683
0.745,0.576,0.652,1.076
0.834,0.653,0.834,1.000
0.508,0.682,0.549,0.967
0.855,0.972,0.903,0.974
0.486,0.744,0.127,1.412
0.831,0.955,0.907,0.959
0.904,0.685,0.710,1.139
0.713,0.175,0.382,1.594
0.581,0.172,0.643,0.924
0.166,0.545,0.173,0.990
0.469,0.957,0.199,1.234
0.365,0.218,0.669,0.657
0.288,0.055,0.380,0.789
0.724,0.260,0.780,0.946
0.201,0.340,0.982,0.409
0.276,0.880,0.459,0.863
0.508,0.128,0.528,0.970
0.229,0.832,0.994,0.581
0.990,0.585,0.943,1.031
0.480,0.141,0.829,0.640
0.051,0.868,0.452,0.696
0.459,0.732,0.391,1.061
0.584,0.937,0.941,0.810
0.969,0.356,0.651,1.316
0.637,0.628,0.017,1.961
0.128,0.172,0.816,0.304
0.357,0.471,0.692,0.712
0.809,0.573,0.275,1.630
0.642,0.813,0.660,0.988
0.585,0.160,0.538,1.067
0.414,0.781,0.924,0.701
0.233,0.584,0.427,0.808
0.898,0.612,0.867,1.021
0.438,0.223,0.182,1.632
0.750,0.078,0.832,0.910
0.103,0.323,0.361,0.623
0.513,0.148,0.912,0.624
0.405,0.060,0.207,1.742
0.160,0.549,0.106,1.082
0.284,0.446,0.540,0.740
0.671,0.956,0.064,1.595
0.081,0.711,0.095,0.983
0.188,0.941,0.306,0.905
0.879,0.128,0.271,2.524
0.096,0.290,0.179,0.823
0.223,0.249,0.345,0.795
0.784,0.896,0.003,1.869
0.272,0.406,0.254,1.027
0.564,0.793,0.437,1.103
0.475,0.968,0.304,1.134
0.624,0.761,0.627,0.998
0.053,0.831,0.261,0.810
0.543,0.715,0.023,1.705
0.695,0.306,0.904,0.827
0.633,0.538,0.385,1.269
0.963,0.839,0.544,1.303
0.867,0.324,0.244,2.097
0.737,0.500,0.396,1.381
0.658,0.306,0.591,1.075
0.973,0.156,0.582,1.530
0.403,0.622,0.570,0.860
0.879,0.196,0.126,3.339
0.557,0.294,0.753,0.813
0.357,0.363,0.085,1.607
0.763,0.451,0.059,2.380
0.541,0.674,0.832,0.807
0.632,0.122,0.674,0.947
0.511,0.746,0.294,1.209
0.422,0.025,0.027,8.596
0.955,0.129,0.225,3.062
0.827,0.577,0.588,1.205
0.430,0.592,0.290,1.159
0.453,0.945,0.244,1.176
0.858,0.805,0.812,1.028
0.632,0.731,0.431,1.173
0.381,0.760,0.317,1.059
0.716,0.397,0.985,0.805
0.676,0.187,0.537,1.192
0.935,0.329,0.203,2.376
0.775,0.101,0.396,1.763
0.530,0.184,0.671,0.835
0.961,0.153,0.373,2.118
0.154,0.301,0.847,0.396
0.596,0.890,0.105,1.493
0.678,0.521,0.002,2.293
0.011,0.667,0.165,0.815
0.747,0.086,0.076,5.142
0.880,0.893,0.233,1.575
0.723,0.351,0.119,2.285
0.381,0.694,0.425,0.961
0.291,0.601,0.838,0.620
0.593,0.486,0.211,1.548
0.546,0.808,0.257,1.271
0.556,0.202,0.541,1.020
0.731,0.852,0.319,1.352
0.431,0.205,0.119,1.963
0.093,0.724,0.192,0.892
0.269,0.575,0.155,1.156
0.787,0.334,0.569,1.241
0.765,0.504,0.330,1.522
0.190,0.931,0.726,0.677
0.219,0.274,0.175,1.098
0.111,0.094,0.383,0.430
0.426,0.893,0.367,1.047
0.146,0.481,0.611,0.574
0.430,0.842,0.042,1.439
0.271,0.876,0.410,0.892
0.599,0.034,0.401,1.455
0.784,0.341,0.312,1.723
0.384,0.571,0.943,0.631
0.810,0.087,0.332,2.141
0.395,0.624,0.539,0.876
0.850,0.544,0.941,0.939
0.570,0.071,0.136,3.097
0.788,0.972,0.439,1.247
0.044,0.597,0.536,0.566
0.030,0.340,0.725,0.347
0.138,0.329,0.823,0.405
0.177,0.135,0.817,0.328
0.182,0.119,0.781,0.334
0.236,0.096,0.449,0.609
0.519,0.824,0.840,0.807
0.764,0.041,0.472,1.569
0.384,0.468,0.485,0.894
0.210,0.655,0.517,0.738
0.862,0.023,0.263,3.094
0.992,0.878,0.138,1.841
0.093,0.216,0.423,0.484
0.650,0.690,0.034,1.851
0.198,0.478,0.452,0.727
0.777,0.515,0.964,0.874
0.375,0.557,0.960,0.614
0.457,0.574,0.771,0.767
0.253,0.643,0.763,0.637
0.187,0.030,0.106,1.596
0.873,0.563,0.211,1.855
0.146,0.580,0.667,0.582
0.878,0.221,0.938,0.948
0.696,0.418,0.405,1.354
0.001,0.853,0.210,0.803
0.772,0.345,0.121,2.397
0.767,0.310,0.592,1.194
0.074,0.424,0.880,0.382
0.432,0.243,0.208,1.497
0.607,0.132,0.851,0.752
0.845,0.339,0.209,2.161
0.553,0.899,0.334,1.178
0.792,0.575,0.814,0.984
0.891,0.270,0.045,3.686
0.415,0.646,0.692,0.793
0.107,0.889,0.510,0.712
0.220,0.266,0.192,1.061
0.386,0.515,0.912,0.631
0.821,0.818,0.529,1.217
0.153,0.716,0.061,1.118
0.320,0.642,0.387,0.935
0.810,0.638,0.903,0.940
0.944,0.852,0.913,1.018
0.276,0.412,0.976,0.496
0.535,0.438,0.426,1.126
0.965,0.816,0.552,1.302
0.098,0.770,0.567,0.649
0.195,0.463,0.729,0.552
0.457,0.157,0.467,0.984
0.946,0.148,0.741,1.231
0.511,0.813,0.656,0.901
0.493,0.646,0.563,0.942
0.707,0.970,0.993,0.854
0.749,0.837,0.647,1.069
0.298,0.614,0.771,0.658
0.821,0.089,0.802,1.021
0.724,0.115,0.028,5.867
0.585,0.784,0.131,1.496
0.454,0.461,0.135,1.535
0.271,0.504,0.496,0.775
0.036,0.924,0.004,1.034
0.422,0.821,0.206,1.210
0.318,0.787,0.671,0.758
0.311,0.505,0.209,1.143
0.664,0.773,0.970,0.824
0.591,0.885,0.067,1.550
0.126,0.338,0.749,0.427
0.207,0.048,0.179,1.123
0.740,0.192,0.791,0.948
0.105,0.696,0.836,0.523
0.415,0.558,0.347,1.075
0.502,0.395,0.750,0.783
0.165,0.846,0.930,0.569
0.183,0.220,0.482,0.574
0.487,0.089,0.353,1.303
0.950,0.728,0.685,1.188
0.608,0.404,0.156,1.807
0.652,0.237,0.215,1.967
0.352,0.538,0.991,0.582
0.965,0.366,0.568,1.425
0.228,0.337,0.727,0.531
0.589,0.426,0.020,2.276
0.909,0.712,0.335,1.548
0.089,0.767,0.465,0.695
0.322,0.857,0.203,1.112
0.719,0.002,0.465,1.544
0.303,0.454,0.075,1.431
0.582,0.369,0.070,2.166
0.347,0.822,0.465,0.908
0.134,0.315,0.574,0.505
0.811,0.437,0.572,1.237
0.218,0.761,0.410,0.836
0.899,0.465,0.874,1.019
0.704,0.189,0.260,1.989
0.667,0.146,0.270,1.954
0.460,0.694,0.532,0.941
0.509,0.050,0.529,0.965
0.417,0.074,0.259,1.474
0.049,0.125,0.292,0.417
0.326,0.397,0.255,1.109
0.914,0.612,0.140,2.029
0.405,0.470,0.029,1.754
0.540,0.736,0.002,1.729
0.694,0.946,0.211,1.417
0.429,0.813,0.304,1.112
0.123,0.237,0.716,0.378
0.319,0.392,0.292,1.039
0.546,0.264,0.957,0.663
0.533,0.706,0.296,1.237
0.469,0.407,0.635,0.841
0.462,0.066,0.994,0.498
0.487,0.310,0.858,0.682
0.450,0.520,0.273,1.223
0.641,0.348,0.517,1.143
0.808,0.465,0.869,0.954
0.198,0.074,0.465,0.505
0.253,0.310,0.364,0.835
0.108,0.487,0.179,0.893
0.057,0.124,0.426,0.329
0.466,0.987,0.964,0.745
0.081,0.802,0.588,0.635
0.216,0.529,0.728,0.593
0.861,0.512,0.122,2.166
0.884,0.827,0.973,0.951
0.476,0.561,0.509,0.969
0.912,0.093,0.207,3.350
0.453,0.312,0.664,0.784
0.773,0.182,0.320,1.902
0.488,0.947,0.711,0.866
0.435,0.173,0.369,1.122
0.275,0.828,0.264,1.010
0.988,0.614,0.777,1.152
0.686,0.339,0.599,1.093
0.866,0.857,0.535,1.238
0.970,0.534,0.324,1.753
0.896,0.704,0.148,1.878
0.594,0.535,0.050,1.930
0.466,0.394,0.353,1.151
0.364,0.975,0.860,0.730
0.041,0.886,0.143,0.901
0.990,0.267,0.524,1.589
0.797,0.748,0.736,1.041
0.635,0.955,0.005,1.656
0.825,0.613,0.388,1.437
0.165,0.603,0.090,1.108
0.815,0.398,0.940,0.907
0.643,0.800,0.087,1.627
0.837,0.624,0.791,1.033
0.633,0.442,0.019,2.332
0.008,0.676,0.444,0.611
0.412,0.359,0.424,0.985
0.495,0.242,0.439,1.082
0.005,0.904,0.972,0.485
0.517,0.229,0.772,0.745
0.966,0.568,0.319,1.729
0.103,0.585,0.028,1.122
0.388,0.876,0.303,1.072
0.486,0.422,0.434,1.061
0.190,0.317,0.777,0.463
0.547,0.010,0.360,1.505
0.569,0.741,0.712,0.902
0.633,0.649,0.362,1.268
0.559,0.816,0.614,0.962
0.048,0.150,0.072,0.892
0.373,0.622,0.569,0.835
0.089,0.514,0.778,0.467
0.792,0.274,0.976,0.853
0.414,0.737,0.992,0.666
0.765,0.226,0.545,1.285
0.026,0.892,0.533,0.644
0.798,0.354,0.953,0.881
0.396,0.479,0.068,1.600
0.897,0.294,0.833,1.057
0.886,0.073,0.779,1.126
0.386,0.374,0.341,1.063
0.103,0.335,0.323,0.666
0.694,0.831,0.422,1.217
0.583,0.960,0.179,1.355
0.122,0.689,0.553,0.653
0.515,0.145,0.063,3.173
0.502,0.026,0.920,0.558
0.534,0.033,0.745,0.729
0.257,0.866,0.906,0.634
0.964,0.102,0.743,1.262
0.711,0.895,0.405,1.235
0.518,0.470,0.603,0.921
0.953,0.014,0.180,4.985
0.632,0.507,0.690,0.952
0.081,0.691,0.634,0.583
0.417,0.256,0.747,0.671
0.561,0.282,0.041,2.610
0.704,0.847,0.218,1.456
0.382,0.075,0.037,4.080
0.708,0.443,0.341,1.468
0.402,0.614,0.920,0.662
0.455,0.362,0.267,1.299
0.965,0.121,0.323,2.446
0.184,0.077,0.754,0.314
0.754,0.997,0.229,1.428
0.083,0.162,0.839,0.245
0.967,0.240,0.136,3.210
0.703,0.975,0.870,0.909
0.801,0.966,0.187,1.533
0.146,0.101,0.602,0.351
0.271,0.883,0.789,0.690
0.199,0.430,0.675,0.569
0.312,0.291,0.441,0.824
0.686,0.831,0.530,1.115
0.050,0.872,0.922,0.514
0.133,0.889,0.971,0.549
0.329,0.072,0.687,0.528
0.094,0.049,0.119,0.851
0.480,0.613,0.524,0.961
0.700,0.347,0.873,0.858
0.678,0.085,0.179,2.890
0.376,0.752,0.944,0.665
0.223,0.190,0.297,0.848
0.511,0.293,0.911,0.668
0.208,0.018,0.224,0.934
0.010,0.837,0.377,0.698
0.078,0.598,0.232,0.814
0.266,0.264,0.791,0.502
0.970,0.623,0.421,1.526
0.356,0.052,0.639,0.590
0.324,0.069,0.662,0.538
0.812,0.544,0.025,2.383
0.427,0.529,0.107,1.503
0.764,0.325,0.770,0.995
0.622,0.797,0.518,1.079
0.116,0.848,0.180,0.938
0.427,0.843,0.398,1.023
0.714,0.343,0.665,1.049
0.061,0.622,0.284,0.754
0.957,0.002,0.425,2.246
0.020,0.659,0.517,0.577
0.818,0.436,0.322,1.654
0.408,0.555,0.137,1.392
0.403,0.574,0.408,0.995
0.899,0.710,0.578,1.249
0.613,0.719,0.585,1.021
0.573,0.865,0.886,0.821
0.309,0.843,0.972,0.635
0.584,0.423,0.763,0.849
0.271,0.560,0.861,0.585
0.075,0.566,0.428,0.645
0.824,0.422,0.266,1.811
0.301,0.772,0.450,0.878
0.325,0.581,0.388,0.935
0.155,0.310,0.056,1.270
0.538,0.560,0.117,1.622
0.288,0.067,0.811,0.404
0.609,0.220,0.795,0.817
0.013,0.871,0.507,0.642
0.049,0.641,0.783,0.485
0.212,0.644,0.896,0.556
0.004,0.159,0.756,0.178
0.038,0.073,0.139,0.524
0.324,0.004,0.408,0.796
0.623,0.580,0.002,2.067
0.340,0.793,0.873,0.680
0.064,0.300,0.817,0.326
0.243,0.629,0.336,0.904
0.814,0.081,0.408,1.830
0.081,0.144,0.036,1.250
0.406,0.749,0.109,1.346
0.760,0.283,0.222,2.065
0.272,0.376,0.282,0.985
0.369,0.044,0.463,0.815
0.519,0.293,0.293,1.386
0.650,0.865,0.572,1.054
0.011,0.926,0.395,0.709
0.377,0.287,0.782,0.621
0.486,0.761,0.743,0.829
0.217,0.277,0.542,0.603
0.935,0.189,0.061,4.496
0.197,0.713,0.522,0.737
0.937,0.745,0.740,1.133
0.772,0.057,0.938,0.833
0.570,0.030,0.502,1.128
0.320,0.685,0.598,0.783
0.280,0.232,0.989,0.419
0.350,0.878,0.828,0.720
0.730,0.092,0.046,5.957
0.571,0.949,0.604,0.979
0.084,0.979,0.322,0.817
0.667,0.352,0.580,1.093
0.500,0.388,0.763,0.772
0.338,0.852,0.578,0.832
0.242,0.813,0.883,0.622
0.870,0.407,0.648,1.210
0.681,0.762,0.436,1.205
0.684,0.650,0.571,1.093
0.209,0.104,0.698,0.390
0.065,0.183,0.417,0.413
0.819,0.210,0.781,1.038
0.187,0.222,0.212,0.942
0.206,0.855,0.992,0.574
0.413,0.095,0.170,1.917
0.468,0.922,0.422,1.034
0.389,0.595,0.768,0.722
0.557,0.219,0.985,0.645
0.350,0.885,0.787,0.739
0.481,0.641,0.265,1.238
0.949,0.789,0.583,1.267
0.950,0.804,0.115,1.909
0.137,0.261,0.718,0.407
0.790,0.761,0.621,1.122
0.976,0.765,0.734,1.161
0.847,0.020,0.294,2.761
0.578,0.826,0.486,1.070
0.065,0.711,0.687,0.555
0.202,0.078,0.155,1.202
0.113,0.895,0.934,0.551
0.812,0.854,0.342,1.393
0.675,0.478,0.299,1.484
0.311,0.277,0.042,1.843
0.252,0.839,0.837,0.651
0.436,0.361,0.879,0.643
0.731,0.308,0.146,2.289
0.254,0.086,0.177,1.293
0.311,0.043,0.439,0.734
0.529,0.583,0.696,0.869
0.072,0.118,0.125,0.782
0.824,0.989,0.389,1.316
0.815,0.891,0.970,0.917
0.234,0.209,0.592,0.553
0.749,0.651,0.445,1.277
0.567,0.902,0.859,0.834
0.250,0.120,0.693,0.455
0.725,0.735,0.225,1.521
0.684,0.182,0.789,0.892
0.574,0.533,0.483,1.090
0.422,0.259,0.289,1.243
0.422,0.575,0.605,0.845
0.445,0.594,0.519,0.934
0.692,0.553,0.043,2.089
0.513,0.098,0.328,1.434
0.522,0.366,0.655,0.870
0.181,0.222,0.348,0.707
0.821,0.796,0.097,1.811
0.607,0.051,0.773,0.799
0.335,0.590,0.919,0.613
0.985,0.790,0.899,1.051
0.327,0.537,0.836,0.629
0.307,0.244,0.874,0.493
0.399,0.779,0.985,0.668
0.223,0.370,0.006,1.577
0.664,0.819,0.766,0.936
0.662,0.152,0.014,4.904
0.913,0.248,0.707,1.216
0.823,0.854,0.914,0.949
0.280,0.341,0.244,1.062
0.826,0.295,0.043,3.317
0.024,0.202,0.463,0.340
0.916,0.161,0.715,1.229
0.262,0.886,0.236,1.023
0.342,0.464,0.106,1.414
0.903,0.897,0.324,1.474
0.150,0.989,0.466,0.783
0.574,0.780,0.845,0.833
0.186,0.261,0.008,1.662
0.856,0.113,0.972,0.893
0.730,0.800,0.007,1.896
0.802,0.910,0.326,1.385
0.027,0.702,0.081,0.931
0.226,0.109,0.593,0.477
0.694,0.208,0.078,3.154
0.007,0.441,0.210,0.688
0.891,0.063,0.213,3.457
0.634,0.058,0.430,1.418
0.582,0.816,0.050,1.614
0.602,0.193,0.517,1.120
0.666,0.071,0.767,0.879
0.212,0.117,0.941,0.311
0.389,0.469,0.795,0.679
0.346,0.160,0.446,0.835
0.979,0.997,0.356,1.460
0.388,0.088,0.727,0.584
0.432,0.295,0.907,0.605
0.425,0.935,0.967,0.715
0.692,0.261,0.653,1.043
0.732,0.059,0.220,2.835
0.064,0.337,0.408,0.538
0.303,0.062,0.514,0.634
0.561,0.411,0.720,0.859
0.831,0.255,0.950,0.901
0.348,0.997,0.104,1.222
0.832,0.880,0.774,1.035
0.999,0.845,0.744,1.160
0.977,0.519,0.769,1.161
0.697,0.621,0.694,1.002
0.179,0.499,0.962,0.464
0.228,0.058,0.283,0.839
0.735,0.628,0.308,1.456
0.638,0.727,0.770,0.912
0.306,0.382,0.072,1.515
